# hjd                mag        mag_err  
  2457790.74300926   0.01175    0.00306  
  2457790.74315972   0.02347    0.00308  
  2457790.74331019   0.01291    0.00306  
  2457790.74344907   0.00371    0.00304  
  2457790.74359954   0.0261     0.00308  
  2457790.74375      0.02161    0.00307  
  2457790.74403935   0.02001    0.00306  
  2457790.74418981   0.0196     0.00306  
  2457790.74434028   0.0088     0.00304  
  2457790.74449074   0.01175    0.00304  
  2457790.7446412    0.00968    0.00304  
  2457790.74478009   0.01714    0.00305  
  2457790.74493056   0.01654    0.00305  
  2457790.74508102   0.02559    0.00306  
  2457790.74538194   0.00991    0.00303  
  2457790.74553241   0.0022     0.00302  
  2457790.7456713    0.02337    0.00305  
  2457790.74582176   0.0245     0.00305  
  2457790.74597222   0.01609    0.00304  
  2457790.74612269   0.01112    0.00303  
  2457790.74627315   -0.00363   0.003    
  2457790.74641204   0.00508    0.00302  
  2457790.7465625    0.01944    0.00304  
  2457790.74671296   -0.00248   0.003    
  2457790.74686343   -0.00517   0.00299  
  2457790.74700231   0.02351    0.00304  
  2457790.74715278   0.00102    0.003    
  2457790.7474537    0.00961    0.00302  
  2457790.74760417   0.02727    0.00304  
  2457790.74775463   0.02284    0.00304  
  2457790.74789352   0.01204    0.00302  
  2457790.74804398   0.01397    0.00302  
  2457790.74819444   1.3E-4     0.00299  
  2457790.74834491   0.0096     0.00301  
  2457790.74849537   0.01792    0.00302  
  2457790.74863426   0.00899    0.00301  
  2457790.74878472   0.02337    0.00303  
  2457790.74893519   0.00585    0.003    
  2457790.74908565   -0.00932   0.00297  
  2457790.74922454   0.0092     0.003    
  2457790.74952546   0.01285    0.00301  
  2457790.74967593   0.02534    0.00303  
  2457790.74982639   0.0254     0.00303  
  2457790.74997685   0.00689    0.00299  
  2457790.75011574   -1.4E-4    0.00298  
  2457790.7502662    0.02417    0.00302  
  2457790.75041667   0.02046    0.00301  
  2457790.75056713   0.00741    0.00299  
  2457790.75071759   0.02437    0.00302  
  2457790.75085648   0.02142    0.00301  
  2457790.75100694   0.00692    0.00299  
  2457790.75115741   0.01887    0.00301  
  2457790.75130787   0.0122     0.00299  
  2457790.75145833   0.01344    0.00299  
  2457790.7516088    0.00348    0.00298  
  2457790.75175926   0.00456    0.00298  
  2457790.75190972   0.00221    0.00297  
  2457790.75204861   0.01619    0.003    
  2457790.75219907   0.01641    0.003    
  2457790.7525       0.02442    0.00301  
  2457790.75263889   -0.00187   0.00296  
  2457790.75293981   0.02172    0.003    
  2457790.75309028   -0.00815   0.00295  
  2457790.75324074   0.01444    0.00299  
  2457790.75337963   0.00646    0.00297  
  2457790.75353009   0.01383    0.00299  
  2457790.75368056   0.01266    0.00298  
  2457790.75383102   0.01382    0.00299  
  2457790.75398148   0.00985    0.00298  
  2457790.75413194   0.00382    0.00297  
  2457790.75428241   0.00684    0.00297  
  2457790.7544213    0.01621    0.00299  
  2457790.75457176   0.02181    0.003    
  2457790.7547338    0.02683    0.003    
  2457790.75488426   0.01301    0.00298  
  2457790.75502315   0.01294    0.00298  
  2457790.75517361   0.01777    0.00299  
  2457790.75532407   0.02567    0.003    
